PCA_Component_1,PCA_Component_2,PCA_Component_3,PCA_Component_4,PCA_Component_5,quality
0.10259933846094227,0.4544274050761473,0.27038836382219145,0.1214286414674339,0.3162121604696219,5
0.22688128946151803,0.5520395353790004,0.33533332828912543,0.20181301278311156,0.36092476402789636,5
0.17445493814366805,0.4471403914686931,0.3129264057285771,0.20044152079377214,0.33944383546597523,5
0.19655958120152422,0.45556087796753364,0.6128433387993808,0.2400083080136282,0.23007508797569598,6
0.10259933846094227,0.4544274050761473,0.27038836382219145,0.1214286414674339,0.3162121604696219,5
0.12477793709499058,0.46411016519743914,0.27474872345637413,0.1260154263539222,0.2955473012900385,5
0.19165679916825706,0.4304011300926037,0.32323701671608157,0.15171252690873857,0.2410270882962674,5
0.06096130123600621,0.5570215971108412,0.2670795069552432,0.17855302932180822,0.19976967250620378,7
0.04601675118274805,0.4778422870777766,0.30086036326752186,0.12158637873452391,0.3333774309793184,7
0.34108015114783363,0.3175336666568428,0.2909007001253621,0.3601218825289197,0.6097812290619135,5
0.21232358813508978,0.4108567808979614,0.2220379365854611,0.12125465196651894,0.2838352703102898,5
0.34108015114783363,0.3175336666568428,0.2909007001253621,0.3601218825289197,0.6097812290619135,5
0.19246651954198185,0.4461751864282712,0.12337332038737239,0.19791656532138735,0.26400705701679883,5
0.08385779141276799,0.4411876492623094,0.3055855501897172,0.08197019946326908,0.26578360704823717,5
0.515968798999724,0.6921880990735207,0.4954020815735509,0.19192868408487476,0.39769729331192333,5
0.5255154002331253,0.6674106858318314,0.4932369573909793,0.19758963957461115,0.4044321934714496,5
0.3583789111676018,0.5804002714574532,0.4161670496283945,0.3395885389976511,0.19642652536804006,7
0.18210891678446028,0.45506805259295235,0.346301626935696,0.13605232328540776,0.2505026059148344,5
0.08155805350959516,0.39690297319835605,0.26459422689357737,0.07115999115637336,0.583766715759524,4
0.18288717163511806,0.4699174093982858,0.33411689434574,0.12064344631808568,0.2647110452017735,6
0.20587535248507405,0.634040808528038,0.4430826935118593,0.14484628309045108,0.24425805950254517,6
0.2391012771816577,0.5091864035290838,0.31483018385294087,0.1974015054988758,0.3231338520454655,5
0.11213248637070963,0.42946650399699315,0.31373735494937316,0.14614703538782012,0.251628980038197,5
0.21453101671312788,0.31473863704621996,0.36301409653670047,0.17851261533257248,0.32662325110717233,5
0.13095487035578626,0.5828309964248337,0.2500229163356993,0.15277973421529947,0.3675169111746735,6
0.06479188522849348,0.49134197838300164,0.17853937624259503,0.08334617760668347,0.2537985654810733,5
