PCA_Component_1,PCA_Component_2,PCA_Component_3,PCA_Component_4,PCA_Component_5,quality
0.10259933846094255,0.454427405076152,0.2703883638221975,0.1214286414674243,0.31621216046963,5
0.22688128946151792,0.5520395353790011,0.33533332828913104,0.20181301278310415,0.3609247640279076,5
0.174454938143668,0.44714039146869344,0.3129264057285823,0.20044152079376512,0.3394438354659842,5
0.19655958120152417,0.4555608779675341,0.6128433387993875,0.24000830801362774,0.23007508797569576,6
0.10259933846094221,0.45442740507614765,0.2703883638221975,0.12142864146742552,0.3162121604696293,5
0.12477793709499053,0.4641101651974395,0.27474872345638013,0.12601542635391383,0.2955473012900451,5
0.191656799168257,0.43040113009260406,0.3232370167160877,0.151712526908732,0.24102708829627423,5
0.06096130123600621,0.5570215971108416,0.2670795069552485,0.17855302932179806,0.19976967250621205,7
0.046016751182748034,0.477842287077777,0.300860363267528,0.12158637873451586,0.3333774309793252,7
0.3410801511478335,0.317533666656843,0.2909007001253663,0.36012188252891186,0.609781229061914,5
0.21232358813508967,0.4108567808979616,0.22203793658546703,0.12125465196651056,0.2838352703102957,5
0.3410801511478335,0.317533666656843,0.2909007001253663,0.36012188252891186,0.609781229061914,5
0.1924665195419818,0.4461751864282715,0.123373320387377,0.1979165653213748,0.26400705701680377,5
0.08385779141276797,0.4411876492623098,0.305585550189724,0.0819701994632625,0.26578360704824255,5
0.515968798999724,0.6921880990735209,0.49540208157355653,0.19192868408487346,0.3976972933119299,5
0.5255154002331254,0.6674106858318315,0.49323695739098483,0.19758963957460987,0.40443219347145587,5
0.35837891116760173,0.5804002714574535,0.4161670496283992,0.33958853899764535,0.1964265253680382,7
0.18210891678446026,0.4550680525929527,0.34630162693570243,0.1360523232854023,0.25050260591483986,5
0.08155805350959511,0.3969029731983563,0.26459422689358414,0.07115999115636618,0.5837667157595294,4
0.18288717163511803,0.46991740939828613,0.33411689434574654,0.12064344631808013,0.26471104520177435,6
0.205875352485074,0.6340408085280386,0.4430826935118657,0.14484628309044695,0.2442580595025435,6
0.2391012771816576,0.5091864035290842,0.31483018385294637,0.1974015054988686,0.3231338520454658,5
0.11213248637070959,0.42946650399699354,0.3137373549493792,0.146147035387813,0.25162898003820083,5
0.21453101671312774,0.31473863704622024,0.3630140965367067,0.17851261533256768,0.3266232511071771,5
0.13095487035578626,0.582830996424834,0.25002291633570484,0.15277973421528987,0.36751691117467616,6
0.06479188522849344,0.491341978383002,0.1785393762426013,0.0833461776066732,0.25379856548107627,5
0.018088252607656508,0.4271136172644025,0.2744770501624963,0.11945798722036116,0.3111968526897027,5
